,zip_code,region,province,latitude,longitude
460,4701,Wallonia,Liège,50.64453888333333,6.04181605
461,4710,Wallonia,Liège,50.6752882,5.98326253
462,4711,Wallonia,Liège,50.68200443333333,6.038123633333334
463,4720,Wallonia,Liège,50.71835983076923,6.01154046923077
464,4721,Wallonia,Liège,50.71672363333334,6.021126866666667
465,4728,Wallonia,Liège,50.71609883333334,6.030664033333333
466,4730,Wallonia,Liège,50.67365441333333,6.1231996466666665
467,4731,Wallonia,Liège,50.6971651,6.088132721428572
468,4750,Wallonia,Liège,50.44170480555555,6.203203938888889
469,4760,Wallonia,Liège,50.36631168571429,6.3053466857142855
470,4770,Wallonia,Liège,50.34859944583334,6.150633329166666
471,4780,Wallonia,Liège,50.277076163636366,6.130080927272727
472,4783,Wallonia,Liège,50.2384592,6.1834148
473,4790,Wallonia,Liège,50.19932737142857,6.108568614285715
474,4791,Wallonia,Liège,50.21821,6.07391
475,4800,Wallonia,Liège,50.593953377941176,5.857290437132353
476,4801,Wallonia,Liège,50.58904888,5.887498123333333
477,4802,Wallonia,Liège,50.58036614745762,5.869668911864407
478,4820,Wallonia,Liège,50.60727504375,5.853521725
479,4821,Wallonia,Liège,50.60437076511627,5.871253513953488
480,4830,Wallonia,Liège,50.618504615,5.94060182
481,4831,Wallonia,Liège,50.6240113,5.9358337
482,4834,Wallonia,Liège,50.6043084,5.962109166666667
483,4837,Wallonia,Liège,50.62875055714286,5.977824714285715
484,4840,Wallonia,Liège,50.6600235,5.962979824324324
485,4841,Wallonia,Liège,50.6869761,5.9514648
486,4845,Wallonia,Liège,50.533369208474575,5.933811140677967
487,4850,Wallonia,Liège,50.722817629411765,5.978589429411764
488,4851,Wallonia,Liège,50.746311266666666,5.977128844444445
489,4852,Wallonia,Liège,50.7276364,5.929013533333333
490,4860,Wallonia,Liège,50.57066569743589,5.8056031974358975
491,4870,Wallonia,Liège,50.57269694761904,5.69426269047619
492,4877,Wallonia,Liège,50.5986349,5.72961335
493,4880,Wallonia,Liège,50.70105732,5.85311057
494,4890,Wallonia,Liège,50.6587590125,5.863170775
495,4900,Wallonia,Liège,50.489042474117646,5.856759984705882
496,4910,Wallonia,Liège,50.52727767333333,5.821326956666667
497,4920,Wallonia,Liège,50.46688965490196,5.684489914705882
498,4950,Wallonia,Liège,50.43350650833334,6.115229763888888
499,4960,Wallonia,Liège,50.42115531803278,6.030543349180328
500,4970,Wallonia,Liège,50.410043953333336,5.93551974
501,4980,Wallonia,Liège,50.36292042,5.86500276
502,4987,Wallonia,Liège,50.4037785,5.80214249
503,4990,Wallonia,Liège,50.30035937058823,5.798104976470588
504,5000,Wallonia,Namur,50.464278012023456,4.86435223431085
505,5001,Wallonia,Namur,50.46658572592592,4.828434203703704
506,5002,Wallonia,Namur,50.47443887833333,4.850457789999999
507,5003,Wallonia,Namur,50.489051466666666,4.849745133333333
508,5004,Wallonia,Namur,50.4748027625,4.8852251
509,5020,Wallonia,Namur,50.46387760961538,4.820692134615385
510,5021,Wallonia,Namur,50.4952727,4.9338147
511,5022,Wallonia,Namur,,
512,5024,Wallonia,Namur,50.48579765,4.961200099999999
513,5030,Wallonia,Namur,50.55421699148936,4.7064071202127655
514,5031,Wallonia,Namur,50.5882306,4.7757191
515,5032,Wallonia,Namur,50.52641094,4.6580353
516,5060,Wallonia,Namur,50.44183797820513,4.62345781025641
517,5070,Wallonia,Namur,50.39371550243902,4.68777775
518,5080,Wallonia,Namur,50.50440306666667,4.811805608333334
519,5081,Wallonia,Namur,50.5193722,4.7755913
520,5100,Wallonia,Namur,50.44806651692308,4.876071846153846
521,5101,Wallonia,Namur,50.45099085,4.920541908333333
522,5140,Wallonia,Namur,50.52078408333333,4.599741127777778
523,5150,Wallonia,Namur,50.4372510125,4.75693383125
524,5170,Wallonia,Namur,50.3769495,4.837520487096774
525,5190,Wallonia,Namur,50.463088738461536,4.673101921153846
526,5300,Wallonia,Namur,50.492026843243245,5.072802808108108
527,5310,Wallonia,Namur,50.57934627692308,4.899761684615385
528,5330,Wallonia,Namur,50.38863255,5.001434175
529,5332,Wallonia,Namur,50.348535,4.95740575
530,5333,Wallonia,Namur,50.3862108,5.017375
531,5334,Wallonia,Namur,50.3780388,5.0652636
532,5336,Wallonia,Namur,,
533,5340,Wallonia,Namur,50.42903954285714,5.037730542857143
534,5350,Wallonia,Namur,50.41470913,5.075980325
535,5351,Wallonia,Namur,50.4385676,5.1453954
536,5353,Wallonia,Namur,50.44418253333333,5.2125315
537,5360,Wallonia,Namur,50.33509705,5.1427511
538,5361,Wallonia,Namur,50.3215184,5.1820028
539,5362,Wallonia,Namur,,
540,5364,Wallonia,Namur,50.3586456,5.1260176
541,5370,Wallonia,Namur,50.37513173333334,5.245323516666667
542,5372,Wallonia,Namur,,
543,5376,Wallonia,Namur,,
544,5377,Wallonia,Namur,50.2937145375,5.3258004275
545,5380,Wallonia,Namur,50.55752132222222,5.00270918888889
546,5500,Wallonia,Namur,50.250128876543215,4.910605830864197
547,5501,Wallonia,Namur,50.28188155,4.957068100000001
548,5503,Wallonia,Namur,50.25935745714286,4.979245228571429
549,5504,Wallonia,Namur,,
550,5520,Wallonia,Namur,50.245332100000006,4.797368966666667
551,5522,Wallonia,Namur,50.27942105,4.79301175
552,5530,Wallonia,Namur,50.33102161612903,4.921207903225807
553,5537,Wallonia,Namur,50.32804529,4.8627833
554,5540,Wallonia,Namur,50.20743423333333,4.820828833333334
555,5541,Wallonia,Namur,50.2135608,4.830340425
556,5542,Wallonia,Namur,50.19286821,4.83542853
557,5543,Wallonia,Namur,50.15937736666667,4.832765866666667
558,5544,Wallonia,Namur,50.16281276666666,4.813793966666666
559,5550,Wallonia,Namur,49.84532583636363,4.916770163636364
560,5555,Wallonia,Namur,49.93886082777778,5.035857844444444
561,5560,Wallonia,Namur,50.17718966470588,4.932244629411764
562,5561,Wallonia,Namur,50.2170378,4.9830739
563,5562,Wallonia,Namur,,
564,5564,Wallonia,Namur,50.1553536,5.0634504
565,5570,Wallonia,Namur,50.10926199655172,4.935581644827586
566,5572,Wallonia,Namur,50.1315708,5.0373279
567,5574,Wallonia,Namur,50.10121316666667,5.013485033333333
568,5575,Wallonia,Namur,49.992998871428576,4.935619021428572
569,5576,Wallonia,Namur,,
570,5580,Wallonia,Namur,50.15306052142857,5.223238782142857
571,5590,Wallonia,Namur,50.28719058974359,5.101885207692307
572,5600,Wallonia,Namur,50.17824397,4.57320481
573,5620,Wallonia,Namur,50.25681815185185,4.610367629629629
574,5621,Wallonia,Namur,50.29094334,4.55709922
575,5630,Wallonia,Namur,50.1944988,4.4320645333333335
576,5640,Wallonia,Namur,50.32388496976745,4.657621613953489
577,5641,Wallonia,Namur,50.3084534,4.7054975
578,5644,Wallonia,Namur,50.3013837,4.7369127
579,5650,Wallonia,Namur,50.24808245,4.471670140909091
580,5651,Wallonia,Namur,50.28902044736842,4.455756436842106
581,5660,Wallonia,Namur,50.042217339393936,4.488985621212121
582,5670,Wallonia,Namur,50.08184669090909,4.623643963636364
583,5680,Wallonia,Namur,50.136614533333336,4.723224583333333
584,6000,Wallonia,Hainaut,50.41100149910714,4.44730155
585,6001,Wallonia,Hainaut,50.39328211910112,4.4384672853932585
586,6010,Wallonia,Hainaut,50.389403683333335,4.466871783333334
587,6020,Wallonia,Hainaut,50.42328114375,4.4287301125
588,6030,Wallonia,Hainaut,50.41038090779221,4.3849109974025975
589,6031,Wallonia,Hainaut,50.41244896,4.383369056
590,6032,Wallonia,Hainaut,50.386589429729725,4.40702407027027
591,6040,Wallonia,Hainaut,50.43971372878788,4.425686245454545
592,6041,Wallonia,Hainaut,50.46530957419355,4.429934287096774
593,6042,Wallonia,Hainaut,50.42936815454546,4.438438963636364
594,6043,Wallonia,Hainaut,50.4537725,4.479762693333333
595,6044,Wallonia,Hainaut,50.43836133928572,4.390267453571428
596,6060,Wallonia,Hainaut,50.42653410344828,4.48079934137931
597,6061,Wallonia,Hainaut,50.410600632653065,4.467618959183674
598,6110,Wallonia,Hainaut,50.37405012399999,4.375038168
599,6111,Wallonia,Hainaut,50.4029691,4.3632498
600,6120,Wallonia,Hainaut,50.33895391153846,4.411957065384615
